"Cloud Service","URL"
"1&1 Online-Speicher (DSL)","``https://sd2dav.1und1.de``"
"1&1 Online-Speicher (Webhosting)","``https://webdav.office.1und1.de``"
"blaucloud","``https://{username}.blaucloud.de/remote.php/webdav``"
"Disroot [#note-disroot]_","``https://cloud.disroot.org/remote.php/webdav/``"
"freenetcloud","``https://webmail.freenet.de/webdav``"
"GMX MediaCenter","``https://webdav.mc.gmx.net``"
"HiDrive IONOS [#note-hidrive-ionos]_","``https://webdav.hidrive.ionos.com``"
"HiDrive Strato [#note-hidrive-strato]_","``https://webdav.hidrive.strato.com``"
"IceDrive [#note-icedrive]_","``https://webdav.icedrive.io/``"
"kDrive [#note-kdrive]_","``https://connect.drive.infomaniak.com``"
"Koofr [#note-koofr]_","``https://app.koofr.net/dav/Koofr``"
"MagentaCLOUD [#note-magentacloud]_","``https://magentacloud.de/remote.php/webdav``"
"Mailbox.org","``https://dav.mailbox.org/servlet/webdav.infostore/``"
"Mail.Ru","``https://webdav.cloud.mail.ru``"
"Nextcloud [#note-nextcloud]_","``https://{host}/{path}/remote.php/dav/files/{username}``"
"ownCloud [#note-owncloud]_","``https://{host}/{path}/remote.php/webdav``"
"pCloud (EU) [#note-pcloud]_","``https://ewebdav.pcloud.com``"
"pCloud (US) [#note-pcloud]_","``https://webdav.pcloud.com``"
"Seafile (self-hosted)","``https://{host}/{path}/seafdav``"
"STACK","``https://{username}.stackstorage.com/remote.php/webdav``"
"SWITCHdrive","``https://drive.switch.ch/remote.php/dav/files/{username}``"
"Syncwerk (formerly Seafile.de)","``https://app.syncwerk.com/seafdav``"
"WEB.DE Online-Speicher","``https://webdav.smartdrive.web.de``"
"wölkli","``https://cloud.woelkli.com/remote.php/webdav``"
"Yandex.Disk [#note-yandex-disk]_","``https://webdav.yandex.com``"
